College Code,College Name,Branch Name,OC Boys,OC Girls,EWS Boys,EWS Girls,SC Boys,SC Girls,ST Boys,ST Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls
"MTEC","MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY PEDDAPALLY","COMPUTER SCIENCE AND ENGINEERING",129369,124746,NA,NA,158998,161738,154134,146286,139125,159134,NA,NA,NA,NA,149559,NA,NA,NA
"VREC","VIJAYA RURAL ENGINEERING COLLEGE NIZAMABAD","CIVIL ENGINEERING",129458,146603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VGSE","VAAGESHWARI COLL OF ENGINEERING AUTONOMOUS KARIMNAGAR","CIVIL ENGINEERING",129739,133162,NA,NA,160161,146785,NA,NA,NA,NA,NA,NA,NA,NA,NA,161043,NA,NA
"GATE","GATE INSTITUTE OF TECHNOLOGYAND SCIENCES KODAD","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",130005,124690,NA,NA,160549,150206,161963,156216,156200,164846,NA,168983,NA,NA,156677,168428,NA,NA
"GATE","GATE INSTITUTE OF TECHNOLOGYAND SCIENCES KODAD","ELECTRICAL AND ELECTRONICS ENGINEERING",133076,NA,NA,NA,NA,NA,NA,165499,NA,NA,NA,169868,NA,NA,NA,NA,NA,NA
"MTEC","MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY PEDDAPALLY","ELECTRONICS AND COMMUNICATION ENGINEERING",135718,90600,NA,NA,156917,145275,149172,146948,NA,152506,NA,165642,NA,NA,NA,143705,NA,NA
"JNWN","JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY NARSINGAYAPALLY VILLAGE","CIVIL ENGINEERING",135906,NA,NA,NA,153193,NA,NA,154662,NA,NA,142392,NA,NA,NA,147213,NA,NA,NA
"SVES","SRI VENKATESWARA ENGINEERING COLLEGE SURYAPETA","CIVIL ENGINEERING",136414,NA,NA,NA,NA,NA,141844,158515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JNTR","JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA AGRAHARAM RAJANNA SIRCILLA","TEXTILE TECHNOLOGY TEXTILE ENGINEERING",136901,145718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHTN","SREE CHAITANYA COLLEGE OF ENGINEERING KARIMNAGAR","MECHANICAL ENGINEERING",137439,113742,NA,NA,149586,NA,NA,NA,NA,NA,NA,NA,NA,NA,164228,NA,NA,NA
