College Code,College Name,Branch Name,OC Boys,OC Girls,EWS Boys,EWS Girls,SC Boys,SC Girls,ST Boys,ST Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING DUNDIGAL","MECHANICAL ENGINEERING",33814,49890,40556,63570,129197,NA,103993,155481,63399,NA,69283,NA,112393,NA,50945,NA,92360,NA
"MLRS","MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT AUTONOMOUS DUNDIGAL","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",34031,39699,32427,38870,155387,109264,111042,143374,80961,76185,51617,48713,139044,NA,47358,49351,68753,98615
"ANUG","ANURAG UNIVERSITY FORMERLY ANURAG GRP OF INSTNS CVSR COLL OF ENGG GHATKESAR","ELECTRICAL AND ELECTRONICS ENGINEERING",34211,39282,34007,49493,116690,144556,113895,104767,101366,91408,50561,52541,NA,NA,45753,54368,98765,110809
"METH","METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS ABIDS","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",34243,40240,46266,54832,120381,150065,136978,148358,87338,91934,61674,71622,143728,81143,60521,66549,42706,50746
"MHVR","MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY AUTONOMOUS BANDLAGUDA","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",34533,39597,41989,41564,137734,78779,121210,125235,87164,91179,51736,56962,NA,NA,51736,52492,39161,NA
"MRCE","MALLA REDDY COLLEGE OF ENGINEERING MYSAMMAGUDA","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",34863,33694,34809,43439,106054,110820,107134,120506,77683,85158,50646,51279,NA,NA,50526,49965,93324,75158
"KITS","KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI WARANGAL","ELECTRONICS AND COMMUNICATION ENGINEERING",34960,33123,40151,42411,87605,80248,101711,105180,61004,62559,50146,48570,NA,NA,47109,44002,76570,41166
"CMRG","CMR TECHNICAL CAMPUS AUTONOMOUS KANDLAKOYA","ELECTRONICS AND COMMUNICATION ENGINEERING",35104,32808,34692,40075,98588,120239,88244,117008,77365,79039,51758,53342,NA,NA,41619,52596,84895,NA
"JNTS","JNTUH UNIVERSITY COLLEGE OF ENGINEERING SULTANPUR SULTANPUR","ELECTRICAL AND ELECTRONICS ENGINEERING",35262,39232,43715,56755,61106,88391,79829,103491,94123,60899,53391,83758,94923,51447,51835,48887,91025,NA
"KITS","KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI WARANGAL","COMPUTER SCIENCE ENGINEERING NETWORKS",35281,34675,38549,40083,92337,78225,107535,123474,52010,54983,46580,41538,NA,NA,41398,47336,60445,60954
"VBIT","VIGNAN BHARATI INSTITUTE OF TECHNOLOGY AUTONOMOUS GHATKESAR","COMPUTER SCIENCE AND BUSINESS SYSTEM",35320,34005,29753,34486,101254,133150,111562,124804,NA,NA,49000,54232,NA,NA,43754,41705,74338,NA
"CMRN","CMR ENGG COLLEGE AUTONOMOUS KANDLAKOYA","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",35356,34980,34421,37309,102241,108025,108189,129081,66094,74982,50993,49103,44979,NA,47747,45140,65603,82659
"VGNT","VIGNAN INSTITUTE OF TECHNOLOGY AND SCI AUTONOMOUS DESHMUKHI","COMPUTER SCIENCE AND ENGINEERING",35536,27870,34316,36442,101536,94866,122831,147353,78163,74503,45078,43563,75451,NA,46089,49280,68045,63101
"CMRM","CMR INSTITUTE OF TECHNOLOGY AUTONOMOUS KANDLAKOYA","ELECTRONICS AND COMMUNICATION ENGINEERING",35590,34801,33696,38601,116790,122186,106481,142323,79923,78846,52128,48804,NA,129266,41310,44685,82782,138131
"MLRD","MALLA REDDY COLLEGE OF ENGG TECHNOLOGY AUTONOMOUS MYSAMMAGUDA","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",35832,31551,31538,36428,130817,103189,86240,132722,68291,76440,47121,45117,115399,NA,40043,44662,65838,80131
"SRYS","SREYAS INST OF ENGG AND TECHNOLOGY AUTONOMOUS NAGOLE","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",35955,35204,36884,46842,109756,101728,109357,148127,84215,67155,49030,50473,NA,NA,52560,50840,81482,80815
"ACEG","A C E ENGINEERING COLLEGE AUTONOMOUS GHATKESAR","ELECTRONICS AND COMMUNICATION ENGINEERING",36015,33022,35854,37066,102934,111533,100622,145024,84814,70950,50599,50715,NA,NA,51517,52886,90280,80409
"KUWL","KU COLLEGE OF ENGINEERING AND TECHNOLOGY WARANGAL","INFORMATION TECHNOLOGY",36043,35251,56430,69000,129789,108935,70515,82001,93825,70408,43900,50744,NA,NA,50315,45687,78063,112092
"HITM","HYDERABAD INST OF TECHNOLOGY AND MGMT AUTONOMOUS MEDCHAL","ELECTRONICS AND COMMUNICATION ENGINEERING",36439,37902,34281,42463,120280,134562,102290,140153,77677,90121,48822,46383,NA,NA,43710,42118,108488,NA
"TKRC","T K R COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS MIRPET","COMPUTER SCIENCE AND ENGINEERING",36567,38910,39914,49404,159290,106452,90437,103767,76911,94238,54147,55644,52688,42267,47829,50004,74932,93184
"MRTN","ST MARTINS ENGINEERING COLLEGE AUTONOMOUS DHULAPALLY","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",36733,40484,36348,40029,113193,123511,134004,137851,71708,77116,51546,53599,125332,147863,49600,48726,73638,87649
"SIEI","SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","ELECTRICAL AND ELECTRONICS ENGINEERING",36891,83515,116619,116605,156196,153271,150169,160262,117909,123562,129171,116766,NA,NA,109998,112438,150221,137407
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","MINING ENGINEERING",37027,41018,49131,78026,80012,76905,66555,77923,106126,77721,56331,75410,NA,NA,39175,67704,95059,131736
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","MECHANICAL ENGINEERING",37043,49490,40294,77667,135907,147572,96506,148112,77231,133959,53466,55716,108370,NA,52777,75505,74467,NA
"VGNT","VIGNAN INSTITUTE OF TECHNOLOGY AND SCI AUTONOMOUS DESHMUKHI","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",37377,37907,36105,40917,119060,122262,145148,154882,84980,82023,54107,51457,NA,126760,52996,55984,75200,81767
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","CIVIL ENGINEERING",37569,31460,37018,42406,99102,118383,62945,75122,56682,96478,47247,54801,NA,NA,52872,56279,60008,75455
"MLRD","MALLA REDDY COLLEGE OF ENGG TECHNOLOGY AUTONOMOUS MYSAMMAGUDA","AERONAUTICAL ENGINEERING",37727,39140,47151,52552,126191,103867,125915,148933,48794,NA,64803,67727,NA,NA,53034,57779,52638,107759
"JBIT","J B INSTITUTE OF ENGG AND TECHNOLOGY AUTONOMOUS YENKAPALLY","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",37776,NA,35048,38591,111078,42859,80917,139960,79355,46249,52764,52939,NA,NA,46340,48936,64000,94691
"TKRC","T K R COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS MIRPET","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",37829,37502,40717,45285,147724,131459,101061,136277,82944,85775,56268,54905,50257,NA,54100,48479,74479,109561
"GURU","GURU NANAK INSTITUTIONS TECHNICAL CAMPUS AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING IOT",37871,37013,35466,37340,123632,106434,107001,92093,87767,78643,52161,53829,48247,51102,57370,50977,90328,NA
"GLOB","GLOBAL INST OF ENGINEERING AND TECHNOLOGY AUTONOMOUS CHILKUR","ELECTRONICS AND COMMUNICATION ENGINEERING",37988,25165,51362,74295,NA,152294,149231,NA,78873,NA,63906,76467,NA,NA,60234,NA,NA,134794
"JBIT","J B INSTITUTE OF ENGG AND TECHNOLOGY AUTONOMOUS YENKAPALLY","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",38171,38557,40008,47291,115790,155063,111505,149279,82861,83933,61144,67910,42493,55594,54051,51243,80177,95214
"VBIT","VIGNAN BHARATI INSTITUTE OF TECHNOLOGY AUTONOMOUS GHATKESAR","ELECTRONICS AND COMMUNICATION ENGINEERING",38307,34121,38356,43070,157154,136291,104863,133344,99657,74779,53217,52880,76493,151207,50846,50557,89145,116340
"SRYS","SREYAS INST OF ENGG AND TECHNOLOGY AUTONOMOUS NAGOLE","COMPUTER SCIENCE AND ENGINEERING",38390,35855,38985,45289,121566,154803,129271,153089,81669,81269,55277,49308,129152,91456,51999,51881,86235,97733
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","CIVIL ENGINEERING",38408,NA,41895,47464,105442,117136,69241,72953,89775,121789,59991,NA,NA,69457,56427,70800,63304,117080
"CMRN","CMR ENGG COLLEGE AUTONOMOUS KANDLAKOYA","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",38623,34212,35997,41182,112801,109417,115815,136309,77527,76603,52520,51513,77250,NA,49262,52133,71008,96558
"MLRD","MALLA REDDY COLLEGE OF ENGG TECHNOLOGY AUTONOMOUS MYSAMMAGUDA","ELECTRONICS AND COMMUNICATION ENGINEERING",38977,37523,38659,45613,117858,107688,103596,82223,83594,72452,54970,56697,NA,NA,49841,51885,86989,NA
"INDU","SRI INDU COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",39110,34742,44027,47929,116847,145088,115236,126574,93329,90669,55796,57649,NA,NA,65180,63271,61793,NA
"KITS","KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI WARANGAL","COMPUTER SCIENCE AND ENGINEERING IOT",39212,34747,38472,46073,79891,82217,107353,112732,84768,80886,49671,51768,NA,NA,43026,43746,70860,69528
"GCTC","GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS KEESARA","CIVIL ENGINEERING",39559,50639,50820,60666,126494,146242,83116,111104,105001,NA,59201,66327,NA,NA,77116,NA,NA,NA
"HITM","HYDERABAD INST OF TECHNOLOGY AND MGMT AUTONOMOUS MEDCHAL","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",39758,44577,32778,38827,109184,117428,123165,138129,71440,77245,49413,51669,NA,NA,46082,51867,65106,58698
"MRTN","ST MARTINS ENGINEERING COLLEGE AUTONOMOUS DHULAPALLY","COMPUTER SCIENCE AND ENGINEERING",40117,33112,34158,39487,105686,103927,119396,142232,77851,85218,55687,50329,102473,NA,47676,45098,79384,108481
"MREM","MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES AUTONOMOUS MEDCHAL","COMPUTER SCIENCE AND ENGINEERING",40230,47004,37581,45796,102822,93553,108386,135314,90092,89187,56132,54810,77528,NA,50337,52137,76915,81172
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE GHATKESAR","COMPUTER SCIENCE AND ENGINEERING",40784,40726,56858,63056,113554,138832,119274,114931,95228,96954,63289,69611,47108,NA,60411,55744,87907,128917
"VJIT","VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS MOINABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",40823,39420,58598,68828,114648,147385,111859,137925,96254,92525,63139,60429,NA,NA,55012,47692,115598,NA
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE GHATKESAR","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",40882,45002,45513,61597,136142,144917,128126,121575,99870,93311,58287,64807,NA,69601,65698,72832,70335,61317
"OUCT","O U COLLEGE OF TECH HYDERABAD HYDERABAD","FOOD TECHNOLOGY",41245,38448,69527,73181,150473,126089,95741,96571,96956,75814,66259,66521,NA,NA,70038,70204,96137,140438
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","CHEMICAL ENGINEERING",41267,42238,39338,63296,131202,111548,114623,112079,100041,138058,60332,51483,66103,NA,56690,54135,106328,98713
"INDU","SRI INDU COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING",41525,37638,40143,48413,108822,123880,101539,112620,88463,85968,62403,65423,50550,NA,54023,59141,76775,89441
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE GHATKESAR","ELECTRONICS AND COMMUNICATION ENGINEERING",41742,33850,58634,70086,136813,133784,99409,149158,103503,122910,67513,73829,NA,60166,67617,59327,142608,NA
"MLRS","MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT AUTONOMOUS DUNDIGAL","ELECTRONICS AND COMMUNICATION ENGINEERING",41868,30966,39262,43142,120804,117675,130448,153275,77506,81779,54418,64681,NA,NA,52416,56441,87077,132926
"JNKR","JNTUH UNIVERSITY COLLEGE OF ENGINEERING JAGITIAL AUTONOMOUS JAGITIAL","ELECTRICAL AND ELECTRONICS ENGINEERING",41969,35627,79719,91322,105372,96543,107640,115309,73079,100022,67471,55392,58760,NA,59029,58142,NA,NA
"INDI","SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",42071,36002,NA,62197,70818,128453,NA,110540,83712,99661,54389,65473,55652,NA,56431,68697,105208,NA
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","CIVIL ENGINEERING",42148,43118,40028,49944,106326,116074,82232,83048,79056,86463,66572,78159,NA,NA,56157,60788,83990,NA
"VCET","VISWESWARAYA COLL OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",42369,46412,64788,54580,123491,151909,133004,84580,109167,122543,74884,74762,72022,NA,67219,80658,124082,NA
"VGNT","VIGNAN INSTITUTE OF TECHNOLOGY AND SCI AUTONOMOUS DESHMUKHI","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",42531,41414,40818,43352,148341,141976,146191,157635,86512,91119,59962,59020,129474,NA,55545,54069,89679,81341
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","CIVIL ENGINEERING",42641,34589,42240,65060,114992,143571,91853,101805,74693,136686,70380,67221,NA,NA,63812,57778,51928,NA
"TKRC","T K R COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS MIRPET","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",42674,44690,42911,48025,143815,141977,120572,142697,87070,106812,59867,62024,73848,NA,58876,55313,82086,115365
"MRCE","MALLA REDDY COLLEGE OF ENGINEERING MYSAMMAGUDA","ELECTRONICS AND COMMUNICATION ENGINEERING",42914,40395,45572,48609,125059,138766,106827,146368,78874,78646,60108,62169,NA,61384,60890,57824,98113,NA
"INDI","SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",43049,47405,50777,NA,93867,122228,123133,145932,98913,73329,NA,68450,NA,NA,56419,61363,NA,NA
"NREC","NALLAMALLA REDDY ENGINEERING COLLEGE AUTONOMOUS GHATKESAR","COMPUTER SCIENCE AND ENGINEERING",43110,47205,48085,49487,139484,134086,137697,148934,106110,98995,67531,64742,48737,108717,63187,60325,85667,104065
"CHET","SRI CHAITANYA TECHNICAL CAMPUS IBRAHIMPATAN","ELECTRONICS AND COMMUNICATION ENGINEERING",43385,24739,NA,68141,156231,148479,153013,159093,112242,NA,NA,95415,NA,NA,67694,91056,NA,130908
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","MECHANICAL ENGINEERING",44319,56400,45580,72798,113677,157193,87186,148489,82440,138710,75438,101440,NA,NA,55102,86308,99478,NA
"NNRG","NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS AUTONOMOUS GHATKESAR","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",44709,48752,50118,54643,165452,132565,154406,155092,95252,102981,71619,62757,65582,NA,62944,78773,104165,142232
"HITM","HYDERABAD INST OF TECHNOLOGY AND MGMT AUTONOMOUS MEDCHAL","ELECTRICAL AND ELECTRONICS ENGINEERING",44852,42115,56311,81193,143165,NA,127402,155239,98001,NA,59796,102920,NA,90732,78439,82150,111440,NA
"INDI","SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING",44894,46170,49746,52867,131626,118713,122018,140870,86212,89250,71646,68289,NA,NA,58358,61460,83671,101962
"TKEM","TEEGALA KRISHNA REDDY ENGINEERING COLLEGE AUTONOMOUS MIRPET","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",44981,NA,36789,47198,139441,139153,119950,150088,99949,91864,51902,65928,NA,NA,53795,68291,76553,113501
"SRHP","SR UNIVERSITY FORMERLY S R ENGINEERING COLLEGE HASANPARTHY","ELECTRONICS AND COMMUNICATION ENGINEERING",44983,36914,45674,47043,97745,117309,86969,131505,89245,81949,55160,59743,94410,NA,53874,53204,74467,88367
"KITS","KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI WARANGAL","ELECTRICAL AND ELECTRONICS ENGINEERING",45006,55930,49367,109877,150617,90093,107757,113629,94515,72630,54831,57057,NA,NA,64469,74688,NA,120352
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","METALLURGY AND MATERIAL ENGINEERING",45226,54923,68991,75206,127011,153919,113044,152774,121674,70675,73994,68430,NA,NA,70895,84954,90025,NA
"VGNT","VIGNAN INSTITUTE OF TECHNOLOGY AND SCI AUTONOMOUS DESHMUKHI","CIVIL ENGINEERING",45249,113588,NA,131521,139522,NA,76085,150495,158214,122567,81036,122194,NA,NA,88840,138703,NA,NA
"MREM","MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES AUTONOMOUS MEDCHAL","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",45271,40744,42423,48720,156245,118588,115615,145528,89445,89738,56664,59172,NA,56928,56449,55420,91048,120528
"INDU","SRI INDU COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",45418,45168,48069,54926,140976,145429,124626,153262,93854,85774,74210,73028,NA,NA,67981,67492,102519,123637
"GCTC","GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS KEESARA","MECHANICAL ENGINEERING",45482,72276,54814,NA,84887,159207,93730,157397,105417,147310,66299,98047,NA,NA,62163,97394,144349,NA
"CMRK","C M R COLLEGE OF ENGG AND TECHNOLOGY KANDLAKOYA","CIVIL ENGINEERING",45829,NA,52684,NA,89591,139733,105558,114487,83786,NA,65816,94274,NA,NA,52444,79264,93286,NA
"JBIT","J B INSTITUTE OF ENGG AND TECHNOLOGY AUTONOMOUS YENKAPALLY","INFORMATION TECHNOLOGY",45928,52558,47352,56219,135165,147404,148025,149545,97442,88549,61117,77219,NA,60202,68818,60727,92962,106766
"NNRG","NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS AUTONOMOUS GHATKESAR","COMPUTER SCIENCE AND ENGINEERING",45945,45654,48012,53763,125190,134221,132765,163253,107469,107107,72005,70844,61014,58278,62687,60954,94829,133086
"KGRH","KG REDDY COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS MOINABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",46259,44951,57324,56992,144059,133859,148432,163184,101714,111779,78773,59167,NA,NA,67716,72388,78274,109238
"VCET","VISWESWARAYA COLL OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING",46360,52102,62828,72301,139827,144174,113483,148338,118240,96723,72518,79041,NA,NA,65108,72386,88125,133875
"JBIT","J B INSTITUTE OF ENGG AND TECHNOLOGY AUTONOMOUS YENKAPALLY","ELECTRONICS AND COMMUNICATION ENGINEERING",46416,39758,52217,58472,146026,145839,118776,148754,85616,85713,64394,67192,NA,NA,63504,64830,106316,132443
"SPHN","SPHOORTHY ENGINEERING COLLEGE AUTONOMOUS NADERGUL","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",46436,NA,60518,69979,152910,121375,138867,156187,85069,114204,85253,89207,NA,NA,81020,82302,120550,NA
"MLRS","MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT AUTONOMOUS DUNDIGAL","CIVIL ENGINEERING",46608,81349,81697,115450,122600,168725,118201,NA,NA,NA,98919,107713,NA,NA,97149,107657,107422,NA
"CMRK","C M R COLLEGE OF ENGG AND TECHNOLOGY KANDLAKOYA","MECHANICAL ENGINEERING",46633,67470,48744,74711,128852,156328,78137,154786,NA,NA,NA,96305,NA,NA,71106,NA,136511,NA
"INDU","SRI INDU COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",46633,47219,46356,51356,132904,134311,124882,150235,95404,97487,65317,66323,NA,64427,64082,64207,97171,119873
"ACEG","A C E ENGINEERING COLLEGE AUTONOMOUS GHATKESAR","ELECTRICAL AND ELECTRONICS ENGINEERING",47148,46099,61279,NA,93639,151585,112088,104013,116796,NA,76456,67074,NA,NA,NA,NA,97971,NA
"GLOB","GLOBAL INST OF ENGINEERING AND TECHNOLOGY AUTONOMOUS CHILKUR","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",47150,40245,60359,64429,156062,125224,140798,153066,123119,140647,85683,80244,NA,NA,72459,81995,97672,NA
"MLID","M L R INSTITUTE OF TECHNOLOGY AUTONOMOUS DUNDIGAL","ELECTRICAL AND ELECTRONICS ENGINEERING",47180,36180,38872,NA,112629,110425,130239,145331,88315,NA,53254,58114,NA,82694,NA,77994,113776,NA
"VGNT","VIGNAN INSTITUTE OF TECHNOLOGY AND SCI AUTONOMOUS DESHMUKHI","INFORMATION TECHNOLOGY",47431,47071,44694,49799,137255,NA,147837,150763,96181,97658,71797,62195,NA,NA,60604,55829,97236,140502
"VJIT","VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS MOINABAD","CIVIL ENGINEERING",47463,NA,NA,82375,58392,149553,78949,136038,69104,133646,67985,69204,NA,NA,79033,NA,66555,NA
"INDI","SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",47594,48899,48043,57757,135534,143807,128456,138920,97451,104533,68807,70615,NA,NA,64217,72692,92066,135171
"MECS","MATRUSRI ENGINEERING COLLEGE AUTONOMOUS HYDERABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",47689,41875,47127,49644,144759,149760,124612,147206,100894,NA,73525,94386,NA,NA,65308,78543,96806,NA
"BSKR","BHASKAR ENGINEERING COLLEGE YENKAPALLY","INFORMATION TECHNOLOGY",47828,65151,84302,102120,156516,NA,160576,NA,146667,NA,60962,106506,NA,NA,NA,90217,NA,NA
"INDI","SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",47962,42501,48278,51519,139149,119736,127198,146384,90442,80758,83575,73986,65967,66481,60366,69613,94846,134797
"VJIT","VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS MOINABAD","MECHANICAL ENGINEERING",48216,55502,64350,NA,107674,153845,NA,NA,90147,NA,52777,NA,53216,NA,55818,NA,60023,NA
"GNIT","GURUNANAK INST OF TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","ELECTRICAL AND ELECTRONICS ENGINEERING",48282,48960,57912,64678,154118,144834,62360,103541,111591,NA,68039,67405,69711,NA,76262,78418,109586,NA
"MREM","MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES AUTONOMOUS MEDCHAL","INFORMATION TECHNOLOGY",48366,49465,49180,55799,129462,130705,110593,159980,91143,79983,66049,72011,NA,NA,69339,65686,NA,124305
"KUWL","KU COLLEGE OF ENGINEERING AND TECHNOLOGY WARANGAL","ELECTRICAL AND ELECTRONICS ENGINEERING",48756,44269,111452,129914,94751,122699,102167,100146,84262,112098,64153,66350,NA,NA,71603,77022,143529,NA
"TKEM","TEEGALA KRISHNA REDDY ENGINEERING COLLEGE AUTONOMOUS MIRPET","COMPUTER SCIENCE AND ENGINEERING",48807,46894,55145,61091,157301,136338,137709,149353,106597,103319,78122,72370,63230,62224,68300,65059,101990,127420
"NREC","NALLAMALLA REDDY ENGINEERING COLLEGE AUTONOMOUS GHATKESAR","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",48850,45205,48215,53671,140374,139180,140970,154910,105441,88656,66416,67555,NA,NA,62469,65074,86464,93851
"MHVR","MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY AUTONOMOUS BANDLAGUDA","AERONAUTICAL ENGINEERING",48870,53017,85458,80779,126841,159122,144359,147501,127213,85261,72523,125656,120583,NA,66385,101921,94385,NA
"JNWN","JNTUH UNIVERSITY COLLEGE OF ENGINEERING WANAPARTHY NARSINGAYAPALLY VILLAGE","COMPUTER SCIENCE AND ENGINEERING",49104,42033,109566,77009,146541,147072,111452,92311,90538,113536,69143,75314,NA,NA,70575,56919,65193,64459
"MREM","MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES AUTONOMOUS MEDCHAL","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",49272,49187,43609,50468,113837,118482,120768,142665,91543,96793,61980,64082,56814,NA,58410,58570,86405,125872
"VCET","VISWESWARAYA COLL OF ENGG AND TECHNOLOGY AUTONOMOUS IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",49277,NA,70100,67480,145196,146592,125876,157904,115765,124973,77505,78646,70993,NA,69934,91450,145246,NA
"JNKR","JNTUH UNIVERSITY COLLEGE OF ENGINEERING JAGITIAL AUTONOMOUS JAGITIAL","MECHANICAL ENGINEERING",49295,83641,73869,NA,129533,113451,138522,156058,91515,136847,94433,147557,76170,NA,76240,111348,136240,NA
"SUCE","UNIVERSITY COLLEGE OF ENGINEERING HUSNABAD SATAVAHANA UNIVERSITY HUSNABAD","COMPUTER SCIENCE AND ENGINEERING",49310,53310,132856,127480,128393,129966,114200,105366,115201,132059,89527,113471,70901,NA,80347,79509,145103,NA
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS KODAD","COMPUTER SCIENCE AND ENGINEERING",49556,42909,71952,77196,134662,132887,147461,149560,108568,102298,95580,78629,NA,62228,65718,65360,97890,71047
